bond_length_angstrom,vqe_energy_ha,exact_energy_ha,delta_ha
1.2,-1.1410167987955098,-1.141016800187236,1.3917262897678029e-09
1.3,-1.124075256731357,-1.1240752590760565,2.3446995456311015e-09
1.4,-1.1038891838955311,-1.1038891887182953,4.82276418800609e-09
1.5,-1.0816281835349082,-1.081628194722852,1.1187943904644726e-08
1.6,-1.058116506913208,-1.0581165351365394,2.822333144969491e-08
1.7,-1.0339418540505465,-1.0339419283552207,7.43046741913389e-08
1.8,-1.0095269273553151,-1.0095271204856706,1.9313035548584878e-07
1.9,-0.9851778033816317,-0.9851782746645739,4.7128294211606914e-07
2.0,-0.9611189105425568,-0.9611189468626923,3.632013545473711e-08
2.1,-0.9375151750700488,-0.9375152304451462,5.53750973963929e-08
2.2,-0.9144957301589672,-0.9144957667035852,3.654461799840192e-08
